日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
2012/8/17,自營商,123216,15746,130355,13798,-7139,1948,119785,11642,218201,14098,-98416,-2456
2012/8/17,投信,41,61,154,45,-113,16,4698,6754,1459,1760,3239,4993
2012/8/17,外資及陸資,47628,22776,66814,30723,-19186,-7947,202440,42617,207881,33783,-5441,8834
2012/8/20,自營商,169384,29621,157349,27960,12035,1661,132506,12033,218896,12796,-86390,-764
2012/8/20,投信,92,136,170,81,-78,55,4732,6774,1571,1748,3161,5026
2012/8/20,外資及陸資,66380,32215,59209,26289,7171,5926,221705,47277,220269,32580,1436,14697
2012/8/21,自營商,212125,35427,206439,37471,5686,-2044,148995,11870,231274,14673,-82279,-2803
2012/8/21,投信,80,117,23,35,57,82,4784,6916,1566,1758,3218,5159
2012/8/21,外資及陸資,64681,42142,67070,40681,-2389,1461,234426,50999,227852,32749,6574,18250
2012/8/22,自營商,137182,23300,144249,22228,-7067,1072,160548,12962,249912,14689,-89364,-1728
2012/8/22,投信,76,88,55,82,21,6,4762,6852,1523,1705,3239,5148
2012/8/22,外資及陸資,33983,22798,46349,26575,-12366,-3777,232758,47423,238169,33061,-5411,14362
2012/8/23,自營商,161808,25826,165914,25253,-4106,573,169193,13950,262732,15119,-93539,-1169
2012/8/23,投信,100,150,205,264,-105,-114,4841,6997,1707,1948,3134,5049
2012/8/23,外資及陸資,57646,32670,60060,34713,-2414,-2043,243713,45865,251535,33478,-7822,12387
2012/8/24,自營商,107486,16731,114112,16558,-6626,173,169494,14164,269701,15131,-100207,-967
2012/8/24,投信,80,88,13,19,67,69,4828,6954,1627,1852,3201,5102
2012/8/24,外資及陸資,36413,23678,42479,21913,-6066,1765,248278,46361,262295,32312,-14017,14050
2012/8/27,自營商,161084,27448,169477,27576,-8393,-128,171536,15032,279878,16119,-108342,-1087
2012/8/27,投信,0,0,40,56,-40,-56,4791,6868,1630,1845,3161,5023
2012/8/27,外資及陸資,39957,30334,52823,41188,-12866,-10854,243184,40493,268294,37317,-25110,3176
2012/8/28,自營商,190983,26959,188768,28350,2215,-1391,176744,13738,282869,16120,-106125,-2382
2012/8/28,投信,49,73,528,462,-479,-389,4711,6698,2029,2101,2682,4597
2012/8/28,外資及陸資,44238,31484,45332,29645,-1094,1839,246088,41885,272081,36970,-25993,4915
2012/8/29,自營商,94515,11873,87793,11652,6722,221,178619,13472,278022,15627,-99403,-2156
2012/8/29,投信,72,107,129,156,-57,-49,4723,6721,2098,2171,2625,4550
2012/8/29,外資及陸資,27693,17660,23732,15929,3961,1731,250869,43075,272934,36438,-22065,6637
2012/8/30,自營商,178686,26055,182011,24833,-3325,1222,182027,14371,284749,15308,-102722,-937
2012/8/30,投信,25,36,331,426,-306,-390,4565,6455,2246,2317,2319,4138
2012/8/30,外資及陸資,49068,32747,47727,27958,1341,4789,253062,44188,273030,32794,-19968,11394
2012/8/31,自營商,157453,22333,165732,22949,-8279,-616,191868,13965,302716,15519,-110848,-1554
2012/8/31,投信,49,71,460,261,-411,-190,4497,6368,2589,2412,1908,3957
2012/8/31,外資及陸資,42594,26754,50527,28634,-7933,-1880,259643,45914,287868,36387,-28225,9526
2012/9/3,自營商,227347,33587,230177,32637,-2830,950,205932,16249,319553,16839,-113621,-590
2012/9/3,投信,513,441,61,90,452,351,4648,6645,2288,2306,2360,4339
2012/9/3,外資及陸資,60093,35980,57193,33931,2900,2049,265204,48863,291663,37149,-26459,11713
2012/9/4,自營商,101621,13133,101616,14553,5,-1420,211852,16068,325510,18072,-113658,-2004
2012/9/4,投信,6,9,64,95,-58,-86,4618,6606,2316,2350,2302,4256
2012/9/4,外資及陸資,28782,17805,33866,21958,-5084,-4153,265826,45837,297138,38238,-31312,7599
2012/9/5,自營商,216157,31058,237469,31753,-21312,-695,214033,16202,348670,18846,-134637,-2644
2012/9/5,投信,52,76,338,498,-286,-422,4509,6354,2493,2576,2016,3778
2012/9/5,外資及陸資,50813,30244,69146,41678,-18333,-11434,265941,39656,313762,43646,-47821,-3990
2012/9/6,自營商,207929,29660,215972,28172,-8043,1488,220410,17430,363006,18575,-142596,-1145
2012/9/6,投信,73,107,555,673,-482,-566,4374,6147,2840,2942,1534,3206
2012/9/6,外資及陸資,53746,34070,63359,30716,-9613,3354,272828,42552,330025,43200,-57197,-648
2012/9/7,自營商,249446,28887,241761,25280,7685,3607,233236,19182,368216,16725,-134980,2457
2012/9/7,投信,353,451,637,53,-284,398,4418,6287,3168,2648,1250,3638
2012/9/7,外資及陸資,57776,32350,56497,36631,1279,-4281,278294,41603,334583,46438,-56289,-4835
2012/9/10,自營商,166378,19903,150633,19844,15745,59,243743,18737,363110,16181,-119367,2557
2012/9/10,投信,128,191,13,16,115,175,4494,6430,3129,2599,1365,3831
2012/9/10,外資及陸資,61737,34051,49781,24436,11956,9615,288468,47822,334076,43026,-45608,4796
2012/9/11,自營商,178574,17420,172930,17465,5644,-45,254266,18913,368133,16409,-113867,2504
2012/9/11,投信,67,100,332,48,-265,52,4492,6435,3392,2548,1100,3887
2012/9/11,外資及陸資,54944,28177,47024,24645,7920,3532,299371,52383,337284,44027,-37913,8357
2012/9/12,自營商,334015,36886,319287,32019,14728,4867,272021,23438,371286,16032,-99265,7406
2012/9/12,投信,148,217,667,250,-519,-33,4512,6569,3932,2655,580,3914
2012/9/12,外資及陸資,80788,39196,67544,35703,13244,3493,321871,57657,347181,45540,-25310,12117
2012/9/13,自營商,240890,19409,244341,22227,-3451,-2818,263084,22916,365710,18324,-102626,4592
2012/9/13,投信,13,17,23,33,-10,-16,4491,6531,3921,2636,570,3895
2012/9/13,外資及陸資,61110,27098,58523,29793,2587,-2695,326847,56155,350275,46756,-23428,9399
2012/9/14,自營商,485982,43023,441697,45237,44285,-2214,278399,22415,336239,20050,-57840,2365
2012/9/14,投信,343,399,78,103,265,296,4564,6714,3729,2436,835,4278
2012/9/14,外資及陸資,118305,50967,103340,50825,14965,142,364945,63000,374410,53104,-9465,9895
2012/9/17,自營商,267269,24943,250355,21672,16914,3271,302003,24394,342998,18754,-40995,5640
2012/9/17,投信,1404,2128,1407,2128,-3,0,4540,6687,3708,2401,832,4286
2012/9/17,外資及陸資,61855,53419,80235,59821,-18380,-6402,366028,66054,393819,62636,-27791,3418
2012/9/18,自營商,277389,29106,229599,34790,47790,-5684,329869,21358,323425,21409,6444,-51
2012/9/18,投信,3253,4828,2486,3706,767,1122,4829,7066,3230,1656,1599,5410
2012/9/18,外資及陸資,92177,65856,95414,58501,-3237,7355,387965,80085,419299,69304,-31334,10781
2012/9/19,自營商,280933,34828,260510,35405,20423,-577,100484,9056,122640,12873,-22156,-3817
2012/9/19,投信,1725,2451,1617,2139,108,312,4668,6914,921,1199,3747,5715
2012/9/19,外資及陸資,63438,37836,66135,42248,-2697,-4412,183416,56578,213020,48224,-29604,8354
2012/9/20,自營商,165174,22653,166729,23249,-1555,-596,126951,9173,150653,13575,-23702,-4402
2012/9/20,投信,73,113,231,358,-158,-245,4611,6791,1002,1318,3609,5473
